"Verb","GoingP1","WillP1","GoingP2","WillP2","GoingP3","WillP3"
"embitter",0,2,0,2,0,0
"embody",0,0,0,1,0,0
"embrace",1,7,1,2,0,2
"embroil",0,1,0,0,0,0
"emerge",0,0,0,2,0,1
"emigrate",0,0,0,0,1,1
"emit",0,1,0,1,0,0
"employ",0,27,0,14,2,1
"empty",0,2,0,0,0,0
"emulate",0,1,0,1,0,0
"enable",0,64,0,54,0,54
"enact",0,0,0,0,0,1
"encamp",1,0,1,0,0,0
"enclose",0,14,0,0,0,2
"encounter",2,1,3,3,0,2
"encourage",0,10,0,8,0,5
"encrease",0,6,0,0,0,0
"encroach",0,2,0,2,0,1
"end",0,44,0,46,6,36
"endanger",0,5,0,1,0,1
"endear",0,4,0,0,0,0
"endeavor",0,2,0,5,0,0
"endeavour",0,145,0,86,0,26
"endorse",0,0,0,0,0,2
"endow",0,2,0,2,0,1
"endure",1,2,1,19,0,10
"enfeeble",0,1,0,0,0,1
"enflame",0,1,0,0,0,0
"enforce",0,1,0,0,0,0
"engage",2,43,0,9,1,3
"engrave",0,1,0,0,0,0
"engross",0,1,0,1,0,0
"enhance",0,0,0,0,0,1
"enjoin",0,0,0,1,0,0
"enjoy",0,17,0,20,4,14
"enlarge",0,3,0,6,2,2
"enlighten",0,1,0,1,1,3
"enlist",0,0,0,1,0,0
"enliven",0,1,0,2,0,0
"ennoble",0,1,0,2,0,0
"enquire",0,4,1,8,0,0
"enrage",0,1,0,1,0,0
