"Token","FreqCommerce","FreqRest","c","d","GStat","Frequency"
"dilemma","2","13","170639","913448","0.0684796261806734","less"
"chunky","2","13","170639","913448","0.0684796261806734","less"
"butter","2","13","170639","913448","0.0684796261806734","less"
"misleading","2","13","170639","913448","0.0684796261806734","less"
"exhaust","2","13","170639","913448","0.0684796261806734","less"
"lecturer","2","13","170639","913448","0.0684796261806734","less"
"apologised","2","13","170639","913448","0.0684796261806734","less"
"reminded","2","13","170639","913448","0.0684796261806734","less"
"resign","2","13","170639","913448","0.0684796261806734","less"
"edmonds","2","13","170639","913448","0.0684796261806734","less"
"neglect","2","13","170639","913448","0.0684796261806734","less"
"highlight","2","13","170639","913448","0.0684796261806734","less"
"discussing","2","13","170639","913448","0.0684796261806734","less"
"last-minute","2","13","170639","913448","0.0684796261806734","less"
"drunk","2","13","170639","913448","0.0684796261806734","less"
"ritchie","2","13","170639","913448","0.0684796261806734","less"
"surrender","2","13","170639","913448","0.0684796261806734","less"
"sorts","2","13","170639","913448","0.0684796261806734","less"
"grief","2","13","170639","913448","0.0684796261806734","less"
"purse","2","13","170639","913448","0.0684796261806734","less"
"gambling","2","13","170639","913448","0.0684796261806734","less"
"collective","2","13","170639","913448","0.0684796261806734","less"
"rocked","2","13","170639","913448","0.0684796261806734","less"
"approve","2","13","170639","913448","0.0684796261806734","less"
"rewarded","2","13","170639","913448","0.0684796261806734","less"
"foreigners","2","13","170639","913448","0.0684796261806734","less"
"nicholson","2","13","170639","913448","0.0684796261806734","less"
"bets","2","13","170639","913448","0.0684796261806734","less"
"trail","2","13","170639","913448","0.0684796261806734","less"
"gaining","2","13","170639","913448","0.0684796261806734","less"
"exclusive","2","13","170639","913448","0.0684796261806734","less"
"wings","2","13","170639","913448","0.0684796261806734","less"
"happily","2","13","170639","913448","0.0684796261806734","less"
"1972","2","13","170639","913448","0.0684796261806734","less"
"meals","2","13","170639","913448","0.0684796261806734","less"
"cigarettes","2","13","170639","913448","0.0684796261806734","less"
"fuss","2","13","170639","913448","0.0684796261806734","less"
"gather","2","13","170639","913448","0.0684796261806734","less"
"lining","2","13","170639","913448","0.0684796261806734","less"
"schoolboy","2","13","170639","913448","0.0684796261806734","less"
"reminder","2","13","170639","913448","0.0684796261806734","less"
"reluctance","2","13","170639","913448","0.0684796261806734","less"
"discrimination","2","13","170639","913448","0.0684796261806734","less"
