"Word","Little","Small","c","d","GStat","Association"
"charter",0,4,36444,31240,6.18492816783747,"small"
"crustacea",0,4,36444,31240,6.18492816783747,"small"
"dam",0,4,36444,31240,6.18492816783747,"small"
"debtor",0,4,36444,31240,6.18492816783747,"small"
"decrease",0,4,36444,31240,6.18492816783747,"small"
"dice",0,4,36444,31240,6.18492816783747,"small"
"dictionary",0,4,36444,31240,6.18492816783747,"small"
"dimension",0,4,36444,31240,6.18492816783747,"small"
"discharge",0,4,36444,31240,6.18492816783747,"small"
"district",0,4,36444,31240,6.18492816783747,"small"
"dome",0,4,36444,31240,6.18492816783747,"small"
"earthenware",0,4,36444,31240,6.18492816783747,"small"
"facet",0,4,36444,31240,6.18492816783747,"small"
"flake",0,4,36444,31240,6.18492816783747,"small"
"freeholder",0,4,36444,31240,6.18492816783747,"small"
"influx",0,4,36444,31240,6.18492816783747,"small"
"instalment",0,4,36444,31240,6.18492816783747,"small"
"integer",0,4,36444,31240,6.18492816783747,"small"
"interior",0,4,36444,31240,6.18492816783747,"small"
"interval",0,4,36444,31240,6.18492816783747,"small"
"intrusion",0,4,36444,31240,6.18492816783747,"small"
"ironwork",0,4,36444,31240,6.18492816783747,"small"
"isle",0,4,36444,31240,6.18492816783747,"small"
"jeweller",0,4,36444,31240,6.18492816783747,"small"
"jug",0,4,36444,31240,6.18492816783747,"small"
"lexicon",0,4,36444,31240,6.18492816783747,"small"
"lightweight",0,4,36444,31240,6.18492816783747,"small"
"livestock",0,4,36444,31240,6.18492816783747,"small"
"mesh",0,4,36444,31240,6.18492816783747,"small"
"missile",0,4,36444,31240,6.18492816783747,"small"
"obstacle",0,4,36444,31240,6.18492816783747,"small"
"owner",0,4,36444,31240,6.18492816783747,"small"
"pen",0,4,36444,31240,6.18492816783747,"small"
"pinch",0,4,36444,31240,6.18492816783747,"small"
"pine",0,4,36444,31240,6.18492816783747,"small"
"pox",0,4,36444,31240,6.18492816783747,"small"
"quarry",0,4,36444,31240,6.18492816783747,"small"
"rear",0,4,36444,31240,6.18492816783747,"small"
"remnant",0,4,36444,31240,6.18492816783747,"small"
"reservoir",0,4,36444,31240,6.18492816783747,"small"
"secretariat",0,4,36444,31240,6.18492816783747,"small"
"sector",0,4,36444,31240,6.18492816783747,"small"
"sett",0,4,36444,31240,6.18492816783747,"small"
"shareholding",0,4,36444,31240,6.18492816783747,"small"
"snag",0,4,36444,31240,6.18492816783747,"small"
"spanner",0,4,36444,31240,6.18492816783747,"small"
"squadron",0,4,36444,31240,6.18492816783747,"small"
"stature",0,4,36444,31240,6.18492816783747,"small"
"subset",0,4,36444,31240,6.18492816783747,"small"
"surcharge",0,4,36444,31240,6.18492816783747,"small"
"terracotta",0,4,36444,31240,6.18492816783747,"small"
"tesserae",0,4,36444,31240,6.18492816783747,"small"
"trading",0,4,36444,31240,6.18492816783747,"small"
"transaction",0,4,36444,31240,6.18492816783747,"small"
"vein",0,4,36444,31240,6.18492816783747,"small"
"zoo",0,4,36444,31240,6.18492816783747,"small"
"élite",0,4,36444,31240,6.18492816783747,"small"
"hill",20,34,36424,31210,6.15125709052382,"small"
"industry",9,20,36435,31224,6.14641624648672,"small"
"court",1,7,36443,31237,6.03373363157242,"small"
"customer",1,7,36443,31237,6.03373363157242,"small"
"decline",1,7,36443,31237,6.03373363157242,"small"
"droplet",1,7,36443,31237,6.03373363157242,"small"
"organism",1,7,36443,31237,6.03373363157242,"small"
