"Lemma","Wordform","TokenID","FileID"
"public-ISE","publicising",124183,"B10"
"real-ISE","realised",124269,"B10"
"critic-ISE","criticizes",124681,"B11"
"real-ISE","realizing",125675,"B11"
"real-ISE","realized",126649,"B11"
"scrutin-ISE","scrutinised",133245,"B14"
"real-ISE","realised",135398,"B15"
"visual-ISE","visualising",135537,"B15"
"recogn-ISE","recognised",138576,"B17"
"overemphas-ISE","overemphasized",140544,"B18"
"recogn-ISE","recognized",141598,"B18"
"recogn-ISE","recognised",144565,"B19"
"recogn-ISE","recognise",144830,"B19"
"real-ISE","realises",146825,"B20"
"recogn-ISE","recognises",149103,"B21"
"recogn-ISE","recognising",149121,"B21"
"recogn-ISE","recognised",149666,"B22"
"util-ISE","utilising",151450,"B22"
"real-ISE","realise",152792,"B23"
"util-ISE","utilise",153194,"B23"
"util-ISE","utilised",153446,"B23"
"recogn-ISE","recognised",156624,"B25"
"demobil-ISE","demobilised",158152,"B25"
"recogn-ISE","recognised",159596,"B26"
"recogn-ISE","recognises",159776,"B26"
"real-ISE","realize",162202,"B27"
"minim-ISE","minimising",162966,"C01"
"emphas-ISE","over-emphasizing",169500,"C03"
"hypnot-ISE","hypnotised",171764,"C04"
"special-ISE","specialized",173166,"C05"
"real-ISE","realised",176760,"C06"
"organ-ISE","organised",176959,"C07"
"glamour-ISE","glamourised",177508,"C07"
"recogn-ISE","recognises",178167,"C07"
"real-ISE","realise",178790,"C07"
"summar-ISE","summarise",178987,"C07"
"crystall-ISE","crystallised",181469,"C08"
"real-ISE","realise",182022,"C09"
"real-ISE","realise",182422,"C09"
"recogn-ISE","recognise",186243,"C11"
"sentimental-ISE","sentimentalized",190524,"C12"
"recogn-ISE","recognize",192176,"C13"
"emphas-ISE","emphasize",192570,"C13"
"special-ISE","specialize",193269,"C14"
"special-ISE","specialising",196457,"C15"
"recogn-ISE","recognised",202404,"C17"
"recogn-ISE","recognized",206130,"D02"
"recogn-ISE","recognized",207463,"D03"
"symbol-ISE","symbolises",211022,"D04"
"symbol-ISE","symbolises",211230,"D04"
"real-ISE","realise",211264,"D04"
"bapt-ISE","baptized",211978,"D05"
"author-ISE","authorized",212105,"D05"
"real-ISE","realize",214811,"D06"
"recogn-ISE","recognized",218853,"D08"
"real-ISE","realizes",218939,"D08"
"recogn-ISE","recognize",219004,"D08"
"anal-ISE","analysing",221287,"D09"
"supernatural-ISE","supernaturalizing",223229,"D10"
"recogn-ISE","recognized",223505,"D10"
"real-ISE","realized",226159,"D11"
"recogn-ISE","recognize",226797,"D11"
"recogn-ISE","recognize",226839,"D11"
"real-ISE","realize",227279,"D11"
"real-ISE","realize",227309,"D11"
"apostat-ISE","apostatize",229888,"D12"
"organ-ISE","organized",230883,"D13"
"symbol-ISE","symbolized",232243,"D13"
"bapt-ISE","baptized",232298,"D13"
"real-ISE","realize",232403,"D13"
"monopol-ISE","monopolises",232785,"D14"
"dogmat-ISE","dogmatises",233774,"D14"
"organ-ISE","organized",238858,"D16"
"real-ISE","realise",240550,"D17"
"recogn-ISE","recognised",240708,"D17"
"real-ISE","realised",242859,"E01"
"real-ISE","realised",244968,"E02"
"real-ISE","realise",245274,"E02"
"recogn-ISE","recognise",245530,"E02"
"util-ISE","utilized",250780,"E04"
"recogn-ISE","recognizing",251202,"E05"
"real-ISE","realise",254803,"E06"
"real-ISE","realise",254961,"E06"
"steril-ISE","sterilized",256971,"E07"
"real-ISE","realized",262542,"E10"
"dramat-ISE","dramatize",264034,"E10"
"emphas-ISE","emphasize",264038,"E10"
"real-ISE","realised",264638,"E11"
"emphas-ISE","emphasise",270298,"E13"
"emphas-ISE","emphasise",271173,"E13"
"recogn-ISE","recognize",271361,"E14"
"stabil-ISE","stabilize",272693,"E14"
"real-ISE","realizes",272787,"E14"
"critic-ISE","criticized",272923,"E14"
"real-ISE","realise",274831,"E15"
"visual-ISE","visualised",276314,"E16"
"emphas-ISE","emphasised",277096,"E16"
"sympath-ISE","sympathize",282229,"E18"
"harmon-ISE","harmonising",292693,"E23"
"memor-ISE","memorised",295835,"E24"
"special-ISE","specialising",305760,"E29"
"organ-ISE","organised",305853,"E29"
