"Word","He","She","c","d","GStat","Association"
"escort",1,1,54216,37889,0.0638529906286986,"she"
"escort",1,1,54216,37889,0.0638529906286986,"she"
"flutter",1,1,54216,37889,0.0638529906286986,"she"
"flutter",1,1,54216,37889,0.0638529906286986,"she"
"flutter",1,1,54216,37889,0.0638529906286986,"she"
"fork",1,1,54216,37889,0.0638529906286986,"she"
"fork",1,1,54216,37889,0.0638529906286986,"she"
"fret",1,1,54216,37889,0.0638529906286986,"she"
"fret",1,1,54216,37889,0.0638529906286986,"she"
"fuss",1,1,54216,37889,0.0638529906286986,"she"
"fuss",1,1,54216,37889,0.0638529906286986,"she"
"fuss",1,1,54216,37889,0.0638529906286986,"she"
"fuss",1,1,54216,37889,0.0638529906286986,"she"
"fuss",1,1,54216,37889,0.0638529906286986,"she"
"fuss",1,1,54216,37889,0.0638529906286986,"she"
"fuss",1,1,54216,37889,0.0638529906286986,"she"
"fuss",1,1,54216,37889,0.0638529906286986,"she"
"fuss",1,1,54216,37889,0.0638529906286986,"she"
"graze",1,1,54216,37889,0.0638529906286986,"she"
"graze",1,1,54216,37889,0.0638529906286986,"she"
"graze",1,1,54216,37889,0.0638529906286986,"she"
"graze",1,1,54216,37889,0.0638529906286986,"she"
"grump",1,1,54216,37889,0.0638529906286986,"she"
"grump",1,1,54216,37889,0.0638529906286986,"she"
"grump",1,1,54216,37889,0.0638529906286986,"she"
"grump",1,1,54216,37889,0.0638529906286986,"she"
"heap",1,1,54216,37889,0.0638529906286986,"she"
"heap",1,1,54216,37889,0.0638529906286986,"she"
"hiccup",1,1,54216,37889,0.0638529906286986,"she"
"hiccup",1,1,54216,37889,0.0638529906286986,"she"
"hiccup",1,1,54216,37889,0.0638529906286986,"she"
"hiccup",1,1,54216,37889,0.0638529906286986,"she"
"hiccup",1,1,54216,37889,0.0638529906286986,"she"
